Level of description,Identifier,Title,Date,Description,Location,Format,Rights,Contributor,Collection identifier,Collection title,Published online?,MulMultiMediaRefLocal_1,URL
Item,1979.0162.02178,Dagg's Falls,c. 1929-1933,"Black and white photograph, two men standing at the base of Dagg's Falls waterfall, QLD, Australia. Written on verso: ho1 (Page 1), Far left. Drawn: Capital L, outlined. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/785","Dagg's Falls waterfall, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92663,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02178
Item,1979.0162.02179,View from Eagle Heights Tambourine Mountain,21 August 1926,"Black and white photograph, view from Eagle Heights Tambourine Mountain, QLD, Australia. Written on verso: 11 (circled), Arr 21/8/26. Stamped on verso: Intelligence and Tourist Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/786","Eagle Heights Tambourine Mountain, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92664,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02179
Item,1979.0162.02180,"View from Picnic Point Main Range, Toowoomba South Queensland",21 August 1926,"Black and white photograph, view of mountain scenery, Picnic Point, Toowoomba, QLD, Australia. Written on verso: 1 (circled), Arr 21/8/26. Stamped on verso: Intelligence and Tourist Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/787","Picnic Point, Toowoomba, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92665,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02180
Item,1979.0162.02181,Carrington Falls near Herberton Cairns District North Queensland,15 September 1930,"Black and white photograph, man standing midway up waterfall, Carrington Falls, Herberton, QLD, Australia. Stamped on verso: Director Government Tourist Bureau Brisbane. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/788","Carrington Falls, Herberton, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92666,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02181
Item,1979.0162.02182,Olsen's Harp Caves 16 Miles NW from Rockhampton Central Queensland,1929-1933,"Black and white photograph, picture of stalagmites and stalactites, man standing on the right. Olsen's Harp Caves, QLD, Australia. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/789","Olsen's Harp Caves, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92667,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02182
Item,1979.0162.02183,Granite Boulders Bald Mountain Stanthorpe District South Queensland,1 September 1928,"Black and white photograph, two men in gap between two boulders, safari hat and briefcase in foreground, Stanthorpe, QLD, Australia. Written on verso: q3, circled, Stanthorpe bin, Queensland Government over date stamp, circled. Stamped on verso: Director Intelligence and Tourism Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933.  Previous Control Number: OSBA/790","Stanthorpe, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92668,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02183
Item,1979.0162.02184,"View of ""White's Hill"" One of Brisbane's Beauty Spots",21 August 1926,"Black and white photograph, cows grazing in foreground, car driving past and fence running through in midground, farmhouse at the top of the hill, Brisbane, QLD, Australia. Written on verso: 13, circled. Stamped on verso: Intelligence and Tourist Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/791","white's hill, Brisbane, QLD",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92669,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02184
Item,1979.0162.02185,View of the Main Range from Picnic Point Toowoomba Darling Downs,16 September 1927,"View of mountain scenery, Toowoomba, QLD, Australia. Written on verso: Brisbane,  x , McGollan. Stamped on verso: Director Intelligence and Tourist Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/792","Picnic Point Toowoomba, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92670,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02185
Item,1979.0162.02186,Surprise Creek Cairns Railway North Queensland,1 September 1928,"Two men standing at the edge of waterfall, bottom centre left of picture, Surprise Creek,  Cairns, QLD, Australia. Written on verso: 24, circled. Queensland Government above date stamp, circled. Carrington Falls written twice. Stamped on verso: Director Intelligence and Tourist Bureau. Previous Control Number: OSBA/793","Surprise Creek,  Cairns, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92671,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02186
Item,1979.0162.02187,Carrington Falls Cairns - Herberton Railway North Queensland,1 September 1928,"Black and white photograph, Man standing midway up waterfall. Carrington Falls, Herberton, QLD, Australia. Written on verso: 24, circled. Queensland Government above date stamp, circled. Carrington Falls written twice. Stamped on verso: Director Intelligence and Tourist Bureau. Photograph previously part of group titled, Queensland - Scenic 1929 to 1933. Previous Control Number: OSBA/794","Carrington Falls, Herberton, QLD, Australia",Photograph,This image is out of copyright. It is provided for research purposes and must not be reproduced without acknowledgement of the University of Melbourne Archives. For information about ordering a copy of this image contact the University of Melbourne Archives: archives@archives.unimelb.edu.au.,,1979.0162,Commercial Travellers' Association,Yes,92672,http://gallery.its.unimelb.edu.au/umblumaic/imu.php?request=load&view=details&EADUnitID=1979.0162.02187
